RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Timothe Luwawu-Cabarrot, SG",PHI,52,15.5,38,0.7,2.3,1.42,0.32
,"Josh Hart, SG",LAL,63,23.2,47,0.7,1.5,1.70,1.00
186,"Jonathan Gibson, G",BOS,4,10.0,3,0.8,3.6,1.33,0.00
,"Omari Johnson, F",MEM,4,18.8,3,0.8,1.9,2.33,0.67
,"Solomon Hill, SF",NO,12,15.6,9,0.8,2.3,2.44,0.78
,"Jahlil Okafor, C",BKN/PHI,28,12.6,21,0.8,2.9,0.57,0.14
,"Kyle Collinsworth, PG",DAL,32,15.0,24,0.8,2.4,2.33,0.71
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Gerald Green, SG",HOU,41,22.7,31,0.8,1.6,0.81,0.77
,"Reggie Bullock, SG",DET,62,27.9,47,0.8,1.3,2.02,1.00
,"Andre Roberson, SG",OKC,39,26.6,30,0.8,1.4,1.53,1.50
,"Marreese Speights, PF",ORL,52,13.0,40,0.8,2.8,1.00,0.20
,"Larry Nance Jr., PF",CLE/LAL,66,21.5,51,0.8,1.7,1.61,1.73
,"Trevor Ariza, SF",HOU,67,33.9,52,0.8,1.1,2.02,1.88
,"Nemanja Bjelica, PF",MIN,67,20.5,52,0.8,1.8,1.65,0.96
,"Malik Monk, SG",CHA,63,13.5,49,0.8,2.8,1.86,0.41
,"Jordan Mickey, C",MIA,23,12.3,18,0.8,3.0,0.50,0.33
,"Darrell Arthur, PF",DEN,19,7.4,15,0.8,5.1,0.60,0.53
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
201,"Thabo Sefolosha, SF",UTAH,38,21.2,30,0.8,1.8,1.10,1.73
,"Andrew Bogut, C",LAL,24,9.0,19,0.8,4.2,0.79,0.21
,"Mike Muscala, PF",ATL,53,20.0,42,0.8,1.9,1.21,0.74
,"Paul Zipser, F",CHI,54,15.2,43,0.8,2.5,1.07,0.47
,"Royce O'Neale, SF",UTAH,69,16.7,55,0.8,2.3,1.73,0.65
,"Walt Lemon Jr., G",NO,5,7.0,4,0.8,5.5,1.25,0.00
,"Johnathan Motley, PF",DAL,11,16.0,9,0.8,2.5,0.78,0.33
,"Briante Weber, PG",HOU/MEM,18,13.2,15,0.8,3.0,1.47,1.20
209,"Tony Allen, SG",NO,22,12.4,19,0.9,3.3,0.47,0.58
,"Nerlens Noel, C",DAL,30,15.7,26,0.9,2.6,0.77,1.19
