RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"JR Smith, SG",CLE,80,28.1,161,2.0,3.4,0,2,0
,"Bam Adebayo, C",MIA,69,19.8,138,2.0,4.8,0,2,0
,"Avery Bradley, SG",DET/LAC,46,31.2,92,2.0,3.1,0,1,0
,"Mike Conley, PG",MEM,12,31.1,24,2.0,3.1,0,0,0
,"Jon Leuer, PF",DET,8,17.0,16,2.0,5.6,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
161,"Ben Moore, F",IND,2,4.5,4,2.0,21.3,0,0,0
,"Devin Robinson, SF",WSH,1,13.0,2,2.0,7.4,0,0,0
,"Andrew Wiggins, SF",MIN,82,36.3,163,2.0,2.6,0,0,0
,"Salah Mejri, C",DAL,61,12.0,121,2.0,8.0,0,5,1
,"Al-Farouq Aminu, PF",POR,69,30.0,136,2.0,3.2,0,0,0
,"Trevor Ariza, SF",HOU,67,33.9,132,2.0,2.8,0,1,1
,"Nerlens Noel, C",DAL,30,15.7,59,2.0,6.0,0,0,0
,"Nikola Mirotic, PF",NO/CHI,55,27.2,108,2.0,3.5,0,2,0
,"Kevin Durant, SF",GS,68,34.2,133,2.0,2.7,0,14,5
,"Bradley Beal, SG",WSH,82,36.3,160,2.0,2.6,0,4,1
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Darius Miller, SF",NO,82,23.7,160,2.0,4.0,1,0,0
,"John Wall, PG",WSH,41,34.4,80,2.0,2.7,1,6,0
173,"Manu Ginobili, SG",SA,65,20.0,126,1.9,4.7,0,0,0
,"D'Angelo Russell, PG",BKN,48,25.7,93,1.9,3.6,0,1,0
,"Reggie Jackson, PG",DET,45,26.7,87,1.9,3.5,1,2,0
,"Tristan Thompson, C",CLE,53,20.2,102,1.9,4.6,1,1,0
,"Aaron Gordon, PF",ORL,58,32.9,111,1.9,2.8,0,2,0
,"George Hill, PG",CLE/SAC,67,27.0,128,1.9,3.4,0,1,0
,"Ryan Anderson, PF",HOU,66,26.1,126,1.9,3.5,0,1,0
,"Tyler Zeller, C",MIL/BKN,66,16.8,126,1.9,5.5,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Kobi Simmons, PG",MEM,32,20.1,61,1.9,4.6,0,0,0
,"Michael Carter-Williams, PG",CHA,52,16.1,99,1.9,5.7,1,4,1
,"Cristiano Felicio, C",CHI,55,17.8,104,1.9,5.1,0,0,0
,"Terrence Ross, SG",ORL,24,25.0,45,1.9,3.6,0,1,0
,"Timothe Luwawu-Cabarrot, SG",PHI,52,15.5,97,1.9,5.8,1,1,0
,"Greg Monroe, C",BOS/MIL/PHX,51,20.4,95,1.9,4.4,0,4,1
,"Jack Cooley, C",SAC,7,12.4,13,1.9,7.2,0,0,0
,"Marcus Morris, PF",BOS,54,26.7,100,1.9,3.3,0,11,2
,"Dwyane Wade, SG",CLE/MIA,67,22.9,124,1.9,3.9,1,4,0
190,"Tyreke Evans, SG",MEM,52,30.9,96,1.8,2.9,0,4,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Al Jefferson, C",IND,36,13.4,66,1.8,6.5,0,0,0
,"Solomon Hill, SF",NO,12,15.6,22,1.8,5.6,0,0,0
,"Rajon Rondo, PG",NO,65,26.2,119,1.8,3.4,1,2,1
,"Shaquille Harrison, PG",PHX,23,16.7,42,1.8,5.3,0,0,0
,"Jahlil Okafor, C",BKN/PHI,28,12.6,51,1.8,6.9,0,0,0
,"Isaiah Thomas, PG",CLE/LAL,32,26.9,58,1.8,3.2,2,8,2
,"Isaiah Canaan, PG",HOU/PHX,20,21.1,36,1.8,4.1,0,0,0
,"Quinn Cook, PG",GS,33,22.4,59,1.8,3.8,1,0,0
,"Jonathan Isaac, PF",ORL,27,19.8,48,1.8,4.3,0,0,0
,"Gary Harris, SG",DEN,67,34.4,119,1.8,2.5,0,2,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
201,"Jared Dudley, SF",PHX,48,14.3,85,1.8,5.9,1,1,2
,"Zaza Pachulia, C",GS,69,14.1,122,1.8,6.0,0,1,0
,"Darren Collison, PG",IND,69,29.2,122,1.8,2.9,0,1,0
,"Travis Wear, SF",LAL,17,13.4,30,1.8,6.3,0,0,0
,"Matthew Dellavedova, PG",MIL,38,18.7,67,1.8,4.5,1,0,1
,"Cameron Payne, PG",CHI,25,23.3,44,1.8,3.6,0,1,0
,"Trevor Booker, PF",IND/BKN/PHI,68,17.0,119,1.8,4.9,0,3,0
,"Rodney Hood, SG",CLE/UTAH,60,26.9,105,1.8,3.1,1,2,1
,"Matt Costello, SF",SA,4,8.0,7,1.8,10.5,0,0,0
210,"Maurice Harkless, SF",POR,59,21.4,103,1.7,3.9,0,1,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Eric Moreland, C",DET,67,12.0,116,1.7,6.9,0,5,0
,"Isaiah Taylor, G",ATL,67,17.4,116,1.7,4.8,0,1,1
,"Treveon Graham, SG",CHA,63,16.7,109,1.7,5.0,0,0,0
,"Rudy Gay, SF",SA,57,21.6,98,1.7,3.8,0,1,0
,"Wade Baldwin IV, PG",POR,7,11.4,12,1.7,7.2,0,0,0
,"Robin Lopez, C",CHI,64,26.4,109,1.7,3.1,1,11,2
,"Josh Hart, SG",LAL,63,23.2,107,1.7,3.5,0,1,0
,"Wayne Selden, SG",MEM,35,19.7,59,1.7,4.1,0,5,2
,"Eric Gordon, SG",HOU,69,31.2,116,1.7,2.6,0,1,0
,"Ekpe Udoh, C",UTAH,63,12.9,105,1.7,6.2,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Andrew Bogut, C",LAL,24,9.0,40,1.7,8.9,0,0,0
,"Damion Lee, SG",ATL,15,26.9,25,1.7,3.0,0,0,0
,"Marquis Teague, G",MEM,3,24.7,5,1.7,3.2,0,0,0
,"C.J. Williams, SG",LAC,38,18.6,63,1.7,4.3,0,0,0
,"Vince Carter, SG",SAC,58,17.7,96,1.7,4.5,1,2,0
226,"Tim Frazier, PG",WSH,59,14.2,97,1.6,5.6,0,2,1
,"Luc Mbah a Moute, PF",HOU,61,25.6,100,1.6,3.1,0,0,0
,"Johnathan Motley, PF",DAL,11,16.0,18,1.6,4.9,0,0,0
,"Rodney Purvis, G",ORL,16,18.1,26,1.6,4.3,0,0,0
,"Jameer Nelson, PG",NO/DET,50,20.3,81,1.6,3.8,1,2,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Troy Williams, F",HOU/NY,21,14.6,34,1.6,5.3,0,0,0
,"Torrey Craig, SG",DEN,39,16.1,63,1.6,4.8,0,0,0
,"Jordan Bell, C",GS,57,14.2,92,1.6,5.5,0,0,0
,"Jabari Parker, PF",MIL,31,24.0,50,1.6,3.2,0,1,0
,"Kevon Looney, SF",GS,66,13.8,106,1.6,5.6,0,0,0
,"Josh Gray, PG",PHX,5,17.2,8,1.6,4.5,0,0,0
,"Kenneth Faried, PF",DEN,32,14.4,51,1.6,5.3,0,0,0
,"Paul Zipser, F",CHI,54,15.2,86,1.6,5.0,0,0,0
,"Jarrett Jack, PG",NY,62,25.0,98,1.6,3.0,1,1,0
,"Cheick Diallo, PF",NO,52,11.2,82,1.6,6.8,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
241,"Iman Shumpert, SG",CLE,14,19.7,22,1.6,3.8,0,0,0
,"Markelle Fultz, PG",PHI,14,18.1,22,1.6,4.2,0,0,0
,"Jordan Mickey, C",MIA,23,12.3,36,1.6,6.1,0,0,0
,"Tyler Cavanaugh, F",ATL,39,13.3,61,1.6,5.6,0,0,0
,"Briante Weber, PG",HOU/MEM,18,13.2,28,1.6,5.7,0,0,0
,"Thabo Sefolosha, SF",UTAH,38,21.2,59,1.6,3.5,0,3,0
247,"Andre Iguodala, SF",GS,64,25.4,99,1.5,2.9,0,3,0
,"Ivan Rabb, PF",MEM,36,14.3,55,1.5,5.1,0,0,0
,"Royce O'Neale, SF",UTAH,69,16.7,105,1.5,4.4,0,0,0
,"Malcolm Delaney, PG",ATL,54,18.8,82,1.5,3.9,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Lauri Markkanen, PF",CHI,68,29.7,103,1.5,2.4,0,0,0
