RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
201,"Kosta Koufos, C",SAC,71,19.6,6.7,0.571,0,0.446
,"Malik Monk, SG",CHA,63,13.5,6.7,0.36,0.342,0.842
,"Tyler Zeller, C",MIL/BKN,66,16.8,6.7,0.56,0.357,0.722
,"Justin Jackson, SF",SAC,68,22.1,6.7,0.442,0.308,0.722
205,"Isaiah Taylor, G",ATL,67,17.4,6.6,0.418,0.25,0.702
206,"Maurice Harkless, SF",POR,59,21.4,6.5,0.495,0.415,0.712
,"Dragan Bender, PF",PHX,82,25.2,6.5,0.386,0.366,0.765
208,"Jodie Meeks, SG",WSH,77,14.5,6.3,0.399,0.343,0.863
,"Trevor Booker, PF",IND/BKN/PHI,68,17,6.3,0.516,0.242,0.71
,"T.J. McConnell, PG",PHI,76,22.4,6.3,0.499,0.435,0.795
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
211,"Langston Galloway, SG",DET,58,14.9,6.2,0.371,0.344,0.805
212,"PJ Tucker, SF",HOU,82,27.8,6.1,0.39,0.371,0.717
213,"Andre Iguodala, SF",GS,64,25.4,6,0.463,0.282,0.632
,"Aron Baynes, C",BOS,81,18.3,6,0.471,0.143,0.756
215,"Gorgui Dieng, C",MIN,79,16.9,5.9,0.479,0.311,0.775
,"Frank Ntilikina, PG",NY,78,21.9,5.9,0.364,0.318,0.721
,"Davis Bertans, C",SA,77,14.1,5.9,0.44,0.373,0.816
,"OG Anunoby, SF",TOR,74,20,5.9,0.471,0.371,0.629
,"Quincy Acy, SF",BKN,70,19.4,5.9,0.356,0.349,0.817
220,"Deyonta Davis, C",MEM,62,15.2,5.8,0.608,0,0.667
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
,"Jonas Jerebko, PF",UTAH,74,15.3,5.8,0.466,0.414,0.807
222,"Dante Cunningham, SF",NO/BKN,73,21.4,5.7,0.451,0.345,0.596
,"Bismack Biyombo, C",ORL,82,18.2,5.7,0.52,0,0.65
224,"Shaun Livingston, PG",GS,71,15.9,5.5,0.501,0,0.82
,"Norman Powell, SF",TOR,70,15.2,5.5,0.401,0.285,0.821
226,"Wesley Johnson, SF",LAC,74,20.1,5.4,0.408,0.339,0.741
,"Zaza Pachulia, C",GS,69,14.1,5.4,0.564,0,0.806
,"Vince Carter, SG",SAC,58,17.7,5.4,0.403,0.345,0.757
,"Pat Connaughton, SG",POR,82,18.1,5.4,0.423,0.352,0.841
,"Maximilian Kleber, PF",DAL,72,16.8,5.4,0.489,0.313,0.746
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
231,"Ed Davis, PF",POR,78,18.9,5.3,0.582,0,0.667
,"Corey Brewer, SG",LAL/OKC,72,16.8,5.3,0.449,0.282,0.722
,"Daniel Theis, PF",BOS,63,14.8,5.3,0.541,0.31,0.753
234,"Tyus Jones, PG",MIN,82,17.9,5.1,0.457,0.349,0.877
235,"Royce O'Neale, SF",UTAH,69,16.7,5,0.423,0.356,0.803
236,"Thon Maker, C",MIL,74,16.7,4.8,0.411,0.298,0.699
,"JaVale McGee, C",GS,65,9.5,4.8,0.621,0,0.731
,"Ian Mahinmi, C",WSH,77,14.9,4.8,0.556,0,0.703
239,"Alex Abrines, SG",OKC,75,15.1,4.7,0.395,0.38,0.848
240,"Amir Johnson, C",PHI,74,15.8,4.6,0.538,0.313,0.612
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
241,"Zach Collins, C",POR,66,15.8,4.4,0.398,0.31,0.643
242,"Treveon Graham, SG",CHA,63,16.7,4.3,0.434,0.412,0.695
243,"Sam Dekker, SF",LAC,73,12.1,4.2,0.494,0.167,0.661
244,"Lance Thomas, SF",NY,73,18.5,4.1,0.382,0.403,0.83
245,"Kevon Looney, SF",GS,66,13.8,4,0.58,0.2,0.545
246,"Cedi Osman, SF",CLE,61,11,3.9,0.484,0.368,0.565
,"Patrick Patterson, PF",OKC,82,15.5,3.9,0.399,0.386,0.87
,"Sindarius Thornwell, SG",LAC,73,15.8,3.9,0.429,0.377,0.67
249,"Wesley Iwundu, SF",ORL,62,16.5,3.7,0.427,0.196,0.723
250,"Salah Mejri, C",DAL,61,12,3.5,0.642,0,0.576
RK,PLAYER,TEAM,GP,MPG,PTS,FG%,3P%,FT%
251,"Malik Beasley, SG",DEN,62,9.5,3.2,0.41,0.341,0.667
252,"Terrance Ferguson, SG",OKC,61,12.5,3.1,0.414,0.333,0.9
253,"Tim Frazier, PG",WSH,59,14.2,3,0.395,0.304,0.767
254,"Semi Ojeleye, PF",BOS,73,15.8,2.7,0.346,0.32,0.61
255,"Ekpe Udoh, C",UTAH,63,12.9,2.6,0.5,0,0.75
256,"Josh Huestis, SG",OKC,69,14.2,2.3,0.33,0.287,0.3
,"Brandon Paul, G",SA,64,9,2.3,0.433,0.278,0.512
258,"Eric Moreland, C",DET,67,12,2.1,0.541,0,0.379
259,"DeAndre Liggins, SG",NO/MIL,58,12.5,1.7,0.377,0.358,0.4
