RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Marvin Williams, PF",CHA,78,25.7,56,0.72,1.34,66,0.85,116,0.85,0.48
,"Jordan Clarkson, PG",CLE/LAL,81,23.3,58,0.72,1.47,127,1.57,107,0.46,0.54
133,"Zach Randolph, PF",SAC,59,25.6,42,0.71,1.34,116,1.97,119,0.36,0.35
,"Marquese Chriss, PF",PHX,72,21.2,51,0.71,1.60,107,1.49,205,0.48,0.25
135,"OG Anunoby, SF",TOR,74,20.0,52,0.70,1.68,45,0.61,130,1.16,0.40
,"Derrick Favors, PF",UTAH,77,28.0,54,0.70,1.20,88,1.14,164,0.61,0.33
,"Tomas Satoransky, SG",WSH,73,22.5,51,0.70,1.49,83,1.14,131,0.61,0.39
138,"Blake Griffin, PF",DET/LAC,58,34.0,40,0.69,0.97,165,2.84,139,0.24,0.29
,"Michael Kidd-Gilchrist, SF",CHA,74,25.0,51,0.69,1.32,53,0.72,143,0.96,0.36
,"Wayne Ellington, SG",MIA,77,26.5,53,0.69,1.25,52,0.68,94,1.02,0.56
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Bojan Bogdanovic, SF",IND,80,30.8,55,0.69,1.07,106,1.33,129,0.52,0.43
142,"Bobby Portis, PF",CHI,73,22.5,50,0.68,1.46,103,1.41,130,0.49,0.38
,"Ekpe Udoh, C",UTAH,63,12.9,43,0.68,2.55,20,0.32,105,2.15,0.41
144,"Patty Mills, PG",SA,82,25.7,55,0.67,1.25,106,1.29,128,0.52,0.43
145,"Mason Plumlee, C",DEN,74,19.5,49,0.66,1.63,102,1.38,184,0.48,0.27
,"Devin Harris, PG",DAL/DEN,71,18.9,47,0.66,1.68,76,1.07,158,0.62,0.30
,"Kosta Koufos, C",SAC,71,19.6,47,0.66,1.62,49,0.69,146,0.96,0.32
,"Manu Ginobili, SG",SA,65,20.0,43,0.66,1.59,105,1.62,126,0.41,0.34
,"Sindarius Thornwell, SG",LAC,73,15.8,48,0.66,1.99,53,0.73,125,0.91,0.38
150,"Dario Saric, PF",PHI,78,29.6,51,0.65,1.06,148,1.90,160,0.34,0.32
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"James Ennis III, SF",DET/MEM,72,22.3,47,0.65,1.41,56,0.78,134,0.84,0.35
,"Dewayne Dedmon, C",ATL,62,24.9,40,0.65,1.25,86,1.39,162,0.47,0.25
153,"David West, PF",GS,73,13.7,47,0.64,2.26,80,1.10,120,0.59,0.39
,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,41,0.64,1.58,113,1.77,80,0.36,0.51
,"DeAndre Liggins, SG",NO/MIL,58,12.5,37,0.64,2.45,20,0.34,81,1.85,0.46
,"Eric Gordon, SG",HOU,69,31.2,44,0.64,0.98,130,1.88,116,0.34,0.38
,"Harrison Barnes, SF",DAL,77,34.2,49,0.64,0.89,118,1.53,94,0.42,0.52
,"Kyle Kuzma, PF",LAL,77,31.2,49,0.64,0.98,140,1.82,160,0.35,0.31
,"John Collins, PF",ATL,74,24.1,47,0.64,1.26,105,1.42,215,0.45,0.22
160,"Joel Embiid, C",PHI,63,30.3,40,0.63,1.00,234,3.71,209,0.17,0.19
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
161,"Tony Snell, SG",MIL,75,27.4,47,0.63,1.10,36,0.48,115,1.31,0.41
,"Allen Crabbe, SG",BKN,75,29.3,47,0.63,1.03,78,1.04,168,0.60,0.28
163,"Amir Johnson, C",PHI,74,15.8,45,0.61,1.85,55,0.74,192,0.82,0.23
164,"Langston Galloway, SG",DET,58,14.9,35,0.60,1.95,18,0.31,39,1.94,0.90
,"Luke Kennard, SG",DET,73,20.0,44,0.60,1.44,69,0.95,86,0.64,0.51
,"Carmelo Anthony, F",OKC,78,32.1,47,0.60,0.90,99,1.27,197,0.47,0.24
,"Raymond Felton, PG",OKC,82,16.6,49,0.60,1.72,76,0.93,91,0.64,0.54
,"Al Horford, PF",BOS,72,31.6,43,0.60,0.91,132,1.83,138,0.33,0.31
169,"Evan Turner, SF",POR,79,25.7,47,0.59,1.11,99,1.25,163,0.47,0.29
,"Dwight Howard, C",CHA,81,30.4,48,0.59,0.94,208,2.57,249,0.23,0.19
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"John Henson, C",MIL,76,25.9,45,0.59,1.10,84,1.11,202,0.54,0.22
,"Patrick Patterson, PF",OKC,82,15.5,48,0.59,1.81,33,0.40,87,1.45,0.55
173,"Myles Turner, C",IND,65,28.2,38,0.58,0.99,96,1.48,186,0.40,0.20
,"Wilson Chandler, SF",DEN,74,31.6,43,0.58,0.88,92,1.24,156,0.47,0.28
,"Alec Burks, SG",UTAH,64,16.5,37,0.58,1.68,60,0.94,75,0.62,0.49
176,"Lauri Markkanen, PF",CHI,68,29.7,39,0.57,0.93,83,1.22,103,0.47,0.38
,"LaMarcus Aldridge, PF",SA,75,33.5,43,0.57,0.82,111,1.48,161,0.39,0.27
,"Gorgui Dieng, C",MIN,79,16.9,45,0.57,1.62,59,0.75,147,0.76,0.31
179,"Jarrett Jack, PG",NY,62,25.0,35,0.56,1.09,115,1.85,98,0.30,0.36
,"Lance Stephenson, SG",IND,82,22.6,46,0.56,1.19,131,1.60,177,0.35,0.26
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Dirk Nowitzki, C",DAL,77,24.7,43,0.56,1.09,51,0.66,146,0.84,0.29
182,"Zaza Pachulia, C",GS,69,14.1,38,0.55,1.88,72,1.04,122,0.53,0.31
183,"Domantas Sabonis, C",IND,74,24.5,40,0.54,1.06,137,1.85,220,0.29,0.18
