RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
132,"Quincy Acy, SF",BKN,70,5.9,1.5,4,102,292,0.349,28,73,0.384,1.13,0.496
133,"Devin Harris, PG",DAL/DEN,71,8.4,1.1,3,79,227,0.348,108,227,0.476,1.31,0.499
134,"Eric Bledsoe, PG",MIL/PHX,74,17.7,1.7,5,125,360,0.347,343,629,0.545,1.33,0.536
,"Caris LeVert, SG",BKN,71,12.1,1.2,3,85,245,0.347,235,490,0.48,1.17,0.493
136,"Ben McLemore, SG",MEM,56,7.5,1,3,55,159,0.346,102,214,0.477,1.13,0.495
137,"Vince Carter, SG",SAC,58,5.4,1,3,57,165,0.345,57,118,0.483,1.11,0.504
,"Dante Cunningham, SF",NO/BKN,73,5.7,0.8,2,58,168,0.345,106,196,0.541,1.15,0.53
,"Blake Griffin, PF",DET/LAC,58,21.4,1.9,6,111,322,0.345,325,674,0.482,1.25,0.493
,"Brook Lopez, C",LAL,74,13,1.5,4,112,325,0.345,257,468,0.549,1.21,0.536
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
141,"Langston Galloway, SG",DET,58,6.2,1.3,4,75,218,0.344,51,122,0.418,1.06,0.481
142,"Jodie Meeks, SG",WSH,77,6.3,0.9,3,72,210,0.343,85,183,0.464,1.24,0.491
143,"Malik Monk, SG",CHA,63,6.7,1.3,4,83,243,0.342,70,182,0.385,0.99,0.458
144,"Kelly Oubre Jr., SF",WSH,81,11.8,1.6,5,126,369,0.341,192,421,0.456,1.21,0.482
,"Marc Gasol, C",MEM,73,17.2,1.5,4,109,320,0.341,325,713,0.456,1.22,0.473
146,"Donovan Mitchell, SG",UTAH,79,20.5,2.4,7,187,550,0.34,408,812,0.502,1.19,0.506
,"Anthony Davis, PF",NO,75,28.1,0.7,2,55,162,0.34,725,1300,0.558,1.44,0.552
148,"Wesley Johnson, SF",LAC,74,5.4,0.8,2,60,177,0.339,90,191,0.471,1.1,0.489
149,"Jonathon Simmons, SF",ORL,69,13.9,1,3,69,204,0.338,285,557,0.512,1.26,0.511
150,"Jrue Holiday, PG",NO,81,19,1.5,4,120,356,0.337,495,888,0.557,1.24,0.543
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
,"Mario Hezonja, SF",ORL,75,9.6,1.2,4,90,267,0.337,183,350,0.523,1.17,0.515
152,"Aaron Gordon, PF",ORL,58,17.6,2,6,115,342,0.336,260,523,0.497,1.18,0.5
,"Nicolas Batum, SG",CHA,64,11.6,1.4,4,92,274,0.336,178,376,0.473,1.14,0.486
154,"Manu Ginobili, SG",SA,65,8.9,1,3,64,192,0.333,137,271,0.506,1.24,0.503
155,"Andrew Wiggins, SF",MIN,82,17.7,1.4,4,112,338,0.331,457,962,0.475,1.12,0.481
,"Jamal Crawford, SG",MIN,80,10.3,1.3,4,104,314,0.331,204,428,0.477,1.11,0.485
157,"Jerian Grant, PG",CHI,74,8.4,0.8,3,61,187,0.326,148,316,0.468,1.23,0.476
,"Spencer Dinwiddie, PG",BKN,80,12.6,1.8,5,141,433,0.326,183,405,0.452,1.2,0.471
159,"D'Angelo Russell, PG",BKN,48,15.5,1.9,6,90,278,0.324,188,394,0.477,1.11,0.481
160,"Jae Crowder, PF",CLE/UTAH,80,9.7,1.4,4,110,341,0.323,161,330,0.488,1.15,0.486
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
161,"Thaddeus Young, PF",IND,81,11.8,0.7,2,58,181,0.32,363,683,0.531,1.11,0.521
162,"Ian Clark, SG",NO,74,7.4,0.8,3,62,195,0.318,160,300,0.533,1.11,0.511
163,"Tim Hardaway Jr., SF",NY,57,17.5,2.3,7,130,410,0.317,230,446,0.516,1.16,0.496
164,"Nikola Vucevic, C",ORL,57,16.5,1.1,4,64,204,0.314,335,636,0.527,1.12,0.513
165,"Dennis Smith Jr., PG",DAL,69,15.2,1.5,5,106,339,0.313,298,685,0.435,1.02,0.446
166,"DeMar DeRozan, SG",TOR,80,23,1.1,4,89,287,0.31,556,1126,0.494,1.3,0.488
167,"Joel Embiid, C",PHI,63,22.9,1,3,66,214,0.308,444,842,0.527,1.37,0.514
,"James Johnson, PF",MIA,73,10.8,0.8,3,57,185,0.308,252,429,0.587,1.28,0.55
,"Justin Jackson, SF",SAC,68,6.7,0.8,3,57,185,0.308,128,234,0.547,1.08,0.51
170,"Lonzo Ball, PG",LAL,52,10.2,1.7,6,90,295,0.305,113,269,0.42,0.94,0.44
,PER GAME,TOTAL,,ADJ,,,,,,,,,,
RK,PLAYER,TEAM,GP,PPG,3PM,3PA,3PM,3PA,3P%,2PM,2PA,2P%,PPS,FG%
171,"Marcus Smart, PG",BOS,54,10.2,1.4,5,75,249,0.301,114,266,0.429,1.07,0.44
,"Draymond Green, PF",GS,70,11,1.1,4,77,256,0.301,204,363,0.562,1.25,0.516
173,"Russell Westbrook, PG",OKC,80,25.4,1.2,4,97,326,0.298,660,1361,0.485,1.2,0.477
174,"Marquese Chriss, PF",PHX,72,7.7,0.8,3,56,190,0.295,146,287,0.509,1.17,0.482
175,"Isaiah Thomas, PG",CLE/LAL,32,15.2,1.7,6,55,188,0.293,102,233,0.438,1.15,0.438
176,"Dennis Schroder, PG",ATL,67,19.4,1.1,4,76,262,0.29,424,884,0.48,1.14,0.469
177,"Lance Stephenson, SG",IND,82,9.2,0.8,3,67,232,0.289,236,477,0.495,1.07,0.475
178,"Stanley Johnson, SF",DET,69,8.7,1,3,67,234,0.286,143,326,0.439,1.07,0.435
179,"Josh Jackson, SG",PHX,77,13.1,0.7,3,57,217,0.263,332,715,0.464,1.09,0.448
